0,0,0,560,1934
0,0,0,521,1877
0,0,0,595,1682
0,0,0,605,1545
0,0,0,656,1375
0,0,0,0,533
0,0,0,0,2385
0,0,0,637,1050
0,0,0,617,966
0,0,0,652,902
0,0,0,672,916
0,0,0,655,814
0,0,0,0,280
0,0,0,0,1725
0,0,0,661,814
0,0,0,599,792
0,0,0,578,769
0,0,0,627,791
0,0,0,628,769
0,0,0,0,253
0,0,0,0,1649
0,0,0,588,801
0,0,0,577,752
0,0,0,577,732
0,0,0,596,778
0,0,0,604,714
0,0,0,0,247
0,0,0,0,1561
0,0,0,592,727
0,0,0,549,762
0,0,0,583,750
202,278,16,548,892
221,300,17,614,906
0,370,24,0,538
0,0,0,0,1812
299,633,29,615,1095
303,611,33,552,1089
407,722,32,619,1152
438,858,25,596,1318
555,986,31,629,1484
0,1153,33,0,1018
0,0,0,0,3206
645,1581,35,673,1822
602,1449,41,681,1860
733,1582,45,757,2026
795,1757,44,776,2209
875,1936,41,845,2434
0,2048,50,0,1908
0,0,0,0,5224
1002,2577,42,944,2983
933,2276,41,986,3043
996,2309,53,1014,3256
1166,2651,69,1107,3436
1169,2922,67,1172,3776
0,3026,49,0,2748
0,0,0,0,7767
1375,3777,61,1286,4275
1202,3516,74,1308,4321
1383,3471,69,1437,4595
1550,3819,69,1560,4813
1714,4018,70,1631,5160
0,4255,79,0,4020
0,0,0,0,10882
1789,4940,91,1712,6012
1646,4330,99,1734,5935
1856,4569,97,1918,6224
2081,4814,100,2070,6344
2210,5075,107,2161,6711
0,5261,94,0,5115
0,0,0,0,13995
2377,6046,113,2182,7581
2125,5391,119,2184,7490
2403,5375,107,2376,7513
2524,5799,99,2560,7833
2680,6115,113,2691,8270
0,6216,120,0,6229
0,0,0,0,16699
2896,7003,132,2728,9079
2413,6336,131,2689,8683
2758,6304,146,2931,8930
2972,6721,144,3082,9252
3086,6867,170,3155,9542
0,7033,113,0,7142
0,0,0,0,18965
3131,7951,148,3125,10568
2701,6988,157,3119,10076
2913,6816,142,3518,10000
3161,7366,181,3540,10657
3243,7474,156,3703,10979
0,7575,172,0,8066
0,0,0,0,21412
3419,8134,164,3717,11528
2952,7215,188,3567,11287
3091,6886,176,3790,10996
3414,7344,173,3951,11121
3545,7470,174,4179,11463
0,0,184,0,3865
0,0,0,0,22560
3586,0,189,3858,9609
2811,0,200,3745,9071
3187,0,185,4007,8412
3292,0,201,4091,7711
3348,0,187,4131,7124
0,2210,173,0,4090
0,0,0,0,13430
3291,1903,178,3634,6392
2615,2080,165,3392,5928
2752,2253,167,3315,5768
2841,2539,139,3373,5782
2855,2874,171,3383,5962
0,3261,158,0,3639
0,0,0,0,12568
2829,4040,132,2932,6406
2342,3741,142,2611,6293
2332,3858,152,2716,6217
2508,4231,128,2819,6555
2638,4383,121,2841,6738
0,4597,123,0,4715
0,0,0,0,14045
2690,5329,127,2649,7366
2217,4864,137,2567,7306
2266,4861,129,2715,7304
2372,5096,133,2835,7483
2619,5459,142,2844,7895
0,5373,133,0,5654
0,0,0,0,15534
2772,6173,135,2902,8473
2275,5551,135,2772,8232
