7198,6297,5829,5170,4199,3771,2943,2247,1634,1180,841,638,506,383,305,162,173,165,6107,5366,7292,9027,8366,11106,10817,15789,13464,12622,10769,9271,7121,6494,4523,4199,3066,2432,2405,2257,2144,1293,1144,1126,1194,1301,1434,1765,1977,2192,2464,2577,3023,3187,3277,3268,3324,2230,2196,2036,1899,1780,1530,1288,1266,1116,911,407,389,369,297,276,398,338,346,333,332,180,193,194,155,158,133,147,147,153,135,87,94,90,100,89
6297,6144,5588,5162,4082,3677,3068,2330,1800,1422,1102,890,706,543,416,218,199,193,1965,5493,7333,9233,8277,6988,10381,10802,13004,11258,11032,9717,8646,6941,6267,4520,4411,2583,2488,2401,2364,2261,1256,1205,1114,1214,1381,1536,1703,1954,2041,2367,2798,2783,3036,3120,2997,2198,2073,2157,2023,1799,1582,1426,1304,1185,1072,391,401,357,346,325,397,377,347,325,310,184,176,169,176,176,131,147,142,132,126,91,93,105,67,84
5829,5588,5234,4888,4126,3588,2898,2362,1898,1525,1240,1000,791,656,581,272,221,218,2108,2249,7118,9570,8365,6855,6417,10638,9253,11061,9625,9937,8918,8060,6535,6146,4666,3884,2595,2389,2475,2240,2175,1206,1122,1199,1160,1458,1556,1712,2039,2104,2452,2481,2702,2766,2865,2063,2071,2031,1990,1953,1732,1539,1401,1294,1102,506,452,384,380,323,434,420,384,362,329,173,183,177,159,155,134,159,141,133,98,85,76,60,96,71
5170,5163,4888,4984,4027,3628,2897,2407,2068,1606,1432,1216,948,809,688,419,310,305,2546,2126,2703,9493,8614,6852,6275,6780,8851,7579,9621,8643,8963,8424,7783,6493,6478,4321,3880,2656,2384,2405,2205,2070,1199,1118,1134,1278,1341,1479,1716,1885,2211,2330,2437,2594,2578,1843,1849,1850,1889,1873,1676,1583,1521,1395,1251,529,473,453,372,342,442,435,366,351,331,163,176,163,148,159,135,130,128,143,135,95,89,83,69,81
4199,4082,4126,4027,3914,3610,3056,2511,2122,1835,1563,1405,1138,963,810,468,423,365,2984,2584,2105,2542,8356,6840,6201,6222,5636,7419,6759,8564,8038,8500,8203,7613,6876,5963,4240,4002,2482,2550,2259,2128,2156,1201,1054,1115,1198,1396,1393,1555,1773,1918,2138,2245,2293,1671,1680,1819,1933,1842,1754,1635,1580,1471,1270,556,552,472,414,380,459,483,404,388,354,165,185,197,142,156,118,131,112,131,123,85,95,87,67,76
3771,3677,3588,3628,3610,4096,3372,2921,2513,2203,1962,1763,1519,1273,1087,666,603,520,4566,3082,2294,2154,2385,7160,6761,6905,5906,5101,6772,6593,8419,7895,8672,8603,9073,7111,6677,4720,4405,2905,2511,2341,2355,2339,1347,1313,1240,1272,1314,1454,1687,1849,2066,2101,2198,1696,1671,1748,1881,1884,1814,1782,1773,1756,1576,652,636,535,491,436,620,499,453,435,399,201,189,186,186,166,139,155,127,139,152,83,82,90,73,87
2943,3068,2898,2897,3056,3372,3300,2993,2637,2289,2090,1891,1676,1384,1296,857,800,730,5045,4171,2416,1790,1842,2069,6286,6643,5536,4646,4452,5974,5721,7804,7661,8412,9013,8312,6863,6511,4585,4373,2732,2404,2348,2450,2584,1473,1245,1229,1155,1205,1403,1504,1641,1742,1885,1443,1597,1541,1747,1842,1692,1713,1750,1697,1590,743,674,569,541,484,612,560,503,442,399,226,202,176,173,142,126,118,148,141,150,85,94,74,85,77
2247,2330,2362,2407,2511,2921,2993,3252,2659,2475,2318,2041,1938,1684,1567,1092,993,966,5770,4439,3003,1919,1754,1694,1938,6060,5533,4642,4115,3811,5422,5395,7146,7113,8884,8225,8174,6844,6672,4691,4163,2588,2463,2610,2775,3245,1432,1232,1137,1096,1300,1332,1425,1515,1641,1262,1373,1440,1508,1628,1613,1689,1604,1764,1650,800,728,662,608,532,700,619,541,463,445,224,228,176,186,152,125,123,113,135,133,88,68,74,76,66
1634,1800,1898,2069,2122,2513,2637,2659,2768,2585,2414,2248,2119,1960,1721,1228,1168,1218,5866,4920,3253,2295,1648,1484,1574,2166,5190,4691,3908,3672,3553,4962,5071,7003,7519,8062,8107,8075,6933,6403,4204,3784,2607,2547,2858,3417,2341,1238,1176,1127,1128,1185,1257,1419,1406,1148,1155,1216,1368,1403,1427,1496,1596,1678,1664,776,748,663,556,560,767,695,616,528,504,231,235,175,183,140,121,100,140,104,139,63,74,66,63,69
1180,1422,1525,1606,1835,2203,2289,2475,2585,2540,2661,2512,2318,2051,2017,1447,1407,1404,5856,4857,3801,2601,1989,1463,1392,1779,1970,4044,3758,3362,3246,3329,4676,4768,7138,7023,7970,7992,8080,6924,6237,3945,3893,2671,2737,3341,2471,2439,1322,1226,1119,1066,1152,1169,1229,994,1012,1060,1225,1226,1286,1346,1462,1589,1658,780,727,718,651,594,745,729,630,563,503,265,251,218,176,161,121,120,125,102,102,67,80,82,52,77
