8044,7053,6326,5859,4899,3795,2945,2230,1652,1187,858,632,459,339,322,210,192,194,4246,4918,7464,9836,9818,13871,14054,16114,13635,13072,11058,9442,7555,6716,4836,4301,3339,2712,2634,2586,2407,1568,1302,1307,1337,1509,1642,1743,1896,2091,2374,2608,2974,3188,3256,3436,3325,2532,2365,2271,2018,1832,1631,1460,1260,1185,1054,383,330,301,275,283,375,346,315,301,307,178,152,150,152,169,116,117,129,109,119,91,76,69,78,80
7053,6532,6085,5705,4601,3672,2974,2270,1768,1395,1072,767,572,453,403,269,259,224,1618,4877,7590,10073,9584,8789,13138,11140,13084,11243,11221,9895,8904,7163,6560,4700,4576,2927,2702,2752,2528,2520,1401,1330,1318,1392,1504,1489,1714,1990,2124,2413,2719,2844,2901,3078,3008,2456,2364,2290,2143,2023,1683,1693,1499,1198,1109,393,375,351,305,273,366,376,321,313,293,131,154,163,141,141,131,138,108,132,138,84,67,83,82,69
6326,6085,5748,5488,4520,3518,2873,2384,1954,1618,1178,976,700,628,547,326,357,302,1816,2355,7713,10583,9882,8438,8308,10554,9421,11133,9952,9968,9233,8353,6820,6338,4862,4435,2928,2787,2579,2796,2488,1399,1355,1283,1325,1448,1508,1894,1970,2022,2436,2571,2662,2657,2813,2181,2209,2159,2132,2026,1796,1650,1523,1385,1298,468,415,345,325,332,428,344,336,285,314,165,179,149,153,162,117,103,118,117,126,92,85,59,96,58
5859,5705,5488,5520,4604,3673,3066,2500,2109,1741,1383,1141,964,789,686,495,454,408,2583,2281,3053,10618,10263,8580,8105,6889,8885,7874,9683,8861,9356,8738,8239,7023,7092,4813,4544,2980,2918,2870,2692,2582,1520,1399,1387,1331,1466,1586,1800,1903,2309,2387,2428,2585,2566,2140,2100,2061,2092,2102,1974,1724,1642,1593,1322,539,468,418,390,340,437,401,331,328,329,159,183,161,145,139,129,107,123,142,115,88,81,83,71,78
4900,4601,4520,4604,4586,3726,3229,2634,2229,1907,1609,1327,1109,945,878,632,538,484,3139,3137,2538,3109,9543,8653,8382,6672,5806,7427,6978,8719,8350,8861,8438,7966,7584,7062,4942,4757,3093,3028,2688,2503,2552,1450,1327,1175,1198,1359,1501,1656,1973,2076,2140,2117,2314,1869,1902,1961,2050,1983,1990,1913,1718,1680,1538,543,487,428,391,380,480,467,383,341,312,218,142,152,144,148,122,117,111,116,113,84,77,91,69,75
3795,3672,3518,3673,3726,3744,3237,2810,2422,2131,1974,1576,1252,1098,1081,828,703,598,4119,3213,2672,2363,2774,7938,7965,6434,5356,4889,6325,6099,7862,7431,8150,7970,8678,7163,7165,4935,4661,3064,2755,2650,2617,2657,1386,1202,1110,1101,1218,1283,1559,1730,1761,1917,1967,1724,1711,1830,1833,1953,1806,1897,1847,1733,1614,567,489,468,405,401,506,462,402,367,351,172,178,147,158,157,123,102,115,116,124,72,84,90,52,66
2946,2974,2873,3066,3229,3237,3226,2854,2459,2260,1943,1749,1453,1287,1263,997,851,840,4631,4344,2982,2065,2166,2509,7302,6223,5177,4295,4120,5554,5575,7268,6994,7936,8682,8422,7227,6989,4902,4690,2813,2437,2562,2607,2800,1287,1059,1078,1059,1134,1323,1381,1501,1556,1659,1396,1465,1564,1630,1756,1704,1799,1848,1810,1658,631,558,510,459,403,493,460,477,384,397,182,152,169,145,146,127,110,103,78,111,81,88,60,57,89
2230,2270,2384,2500,2634,2810,2854,2777,2605,2483,2264,1957,1684,1456,1528,1172,1141,1159,5168,4583,3687,2229,1900,1993,2271,5675,5029,4295,3886,3608,5120,5000,6659,6982,8686,8641,8515,7570,7194,4937,4396,2758,2554,2643,2775,2903,1229,1045,1020,1075,1175,1148,1281,1355,1492,1332,1294,1341,1559,1609,1583,1757,1780,1760,1723,680,636,565,538,481,583,553,485,488,392,199,203,165,152,138,113,89,91,94,109,80,67,42,70,62
1652,1768,1954,2109,2230,2422,2459,2605,2764,2661,2453,2191,1964,1801,1688,1315,1383,1279,5329,5190,4134,2712,1898,1707,1971,2012,4685,4168,3714,3413,3394,4677,4813,6517,7554,8592,8643,8519,7319,7214,4744,4074,2782,2821,2890,3080,2097,1199,1094,987,1026,1087,1125,1246,1268,1136,1121,1203,1323,1494,1525,1521,1675,1744,1818,720,631,595,554,500,706,618,544,426,440,211,170,191,162,137,95,113,79,101,103,56,49,61,64,68
1187,1395,1618,1741,1907,2130,2260,2483,2661,2682,2586,2369,2142,1937,1966,1689,1623,1557,5257,5106,4799,3195,2305,1719,1624,1699,1899,3957,3574,3318,3220,3210,4490,4816,6997,7155,8723,8630,8733,7578,6709,4267,4067,3015,2905,3094,2216,2171,1160,1091,1086,982,962,1054,1099,1027,1070,1176,1202,1335,1319,1448,1462,1772,1762,727,673,673,590,522,735,631,570,477,451,246,212,193,159,146,134,104,97,103,96,60,58,64,46,62
