7350,6397,5882,5108,4243,3794,3023,2217,1626,1186,872,662,499,414,328,181,150,138,6107,5457,7185,8926,8347,11169,10838,15978,13667,12729,10890,9365,7454,6384,4520,4174,3216,2469,2406,2366,2216,1376,1195,1171,1215,1305,1490,1736,1899,2285,2467,2621,2980,3115,3170,3386,3172,2245,2237,2042,1931,1703,1522,1363,1213,1094,941,410,351,341,323,281,361,354,321,355,334,152,178,167,182,154,151,156,135,139,110,85,89,63,88,87
6396,55258,44713,67050,4066,3519,3025,2275,1719,1359,1043,785,646,490,406,243,198,192,2107,5706,7622,9552,8764,7228,10647,11363,13618,11870,11226,10100,9023,7284,6724,4896,4860,3041,2882,2796,2722,2600,1628,1441,1530,1532,1754,1974,2103,2501,2514,2828,3007,3164,3331,3460,3519,2653,2387,2345,2324,2039,1729,1598,1485,1268,1156,520,440,433,417,347,499,424,393,393,351,187,205,182,167,187,127,145,153,123,149,92,106,79,84,101
5883,44715,81855,125373,70833,3448,2985,2337,1912,1509,1241,999,784,641,512,309,250,244,2243,2571,7772,10230,8979,7227,7178,11117,9711,11594,10436,10295,9759,8837,7393,6705,5413,4570,3232,3113,3122,3011,2818,1883,1721,1801,1864,2086,2234,2412,2566,2939,3093,3177,3337,3331,3422,2583,2436,2568,2479,2244,1904,1796,1654,1520,1360,610,528,509,494,433,489,526,439,476,441,204,183,163,165,189,125,139,125,116,128,87,87,79,95,83
5108,67050,125373,336048,243261,3528,2960,2454,2028,1702,1432,1154,934,781,681,377,315,288,2889,3127,3736,10596,9841,8161,7668,8351,10257,9108,11087,10297,10819,10081,9530,7997,8291,5847,5408,4292,4122,4139,3908,3634,2573,2748,2604,2977,2953,3181,3278,3753,3721,3712,3744,4139,3953,3368,2849,3044,2996,2905,2278,2187,1993,1813,1804,767,685,727,577,617,675,671,605,601,533,259,236,205,233,211,153,142,121,115,138,105,87,81,89,84
4243,4066,70833,243260,368122,215323,3191,2472,2074,1855,1587,1343,1127,960,799,485,418,374,3430,3538,3224,3617,9501,8158,7796,7751,7117,8669,8071,9819,9573,10207,9531,9156,8797,7518,5793,5646,4271,4074,3862,3632,3411,2766,2695,2897,2624,2767,3038,3199,3284,3235,3393,3692,3550,2898,2757,2843,2892,2701,2322,2106,2132,1933,1879,794,744,709,550,592,720,627,647,595,521,210,246,201,231,240,136,145,134,109,131,96,68,73,95,91
3794,3518,3448,3528,215323,502876,283258,116797,2604,2149,1958,1731,1469,1196,1136,733,648,594,4850,4061,3433,3365,3658,8304,8095,8408,7339,6430,8073,7866,9753,9823,10311,9913,10707,8715,8360,6425,5913,4512,3939,3792,3945,3941,3007,3275,2619,2826,2852,2760,3151,3105,3242,3274,3478,2830,2888,2871,3113,2768,2418,2431,2310,2160,1978,904,841,698,704,655,838,747,655,695,564,258,286,225,231,214,128,126,158,130,133,82,79,82,89,94
3023,3025,2985,2960,3191,283258,601468,357982,159105,2321,2116,1893,1692,1463,1243,807,753,713,5525,4911,3602,2980,3481,3530,7622,8437,7238,6498,6159,7632,7772,9622,9361,10101,11252,10165,8848,8823,6487,6129,4244,3972,3899,4276,4382,3609,3216,2836,2730,2821,3121,2931,3319,3159,3179,2761,2611,2685,3204,2781,2391,2337,2234,2241,2180,943,932,850,746,731,949,776,783,764,600,257,241,271,244,239,132,138,122,162,120,74,76,76,77,77
2217,2275,2337,2454,2473,116797,357980,469878,358528,173475,2228,2125,1954,1636,1585,1079,1021,950,5907,4726,4174,3238,3217,3193,3311,7704,7218,6347,5711,5469,7380,7269,8943,9050,10960,9993,9840,8946,8582,6311,5855,4210,3964,4179,4435,5388,3152,2897,2842,2778,2832,2676,3011,2987,2921,2545,2364,2600,2613,2842,2144,2127,2315,2308,2316,996,923,941,858,690,966,774,801,758,674,296,283,261,279,245,144,134,131,120,111,80,67,58,77,78
1626,1719,1912,2028,2074,2605,159102,358525,490589,320512,161567,2241,2119,1846,1869,1238,1214,1180,5851,4842,4505,3542,2946,2695,3011,3557,6698,6118,5505,5218,5284,6553,6781,8670,9600,9688,10036,9967,8474,8235,6077,5378,4155,4279,4207,5275,3654,3028,2883,2795,2463,2556,2671,2576,2658,2330,2275,2468,2443,2727,2038,2125,2109,2171,2328,954,982,965,927,740,876,888,760,722,739,314,252,228,233,271,126,121,136,119,112,81,69,73,70,69
1186,1359,1509,1700,1855,2149,2321,173476,320507,473104,320374,161088,2342,2185,2021,1517,1390,1507,5982,4944,5062,3779,3243,2669,2848,3225,3566,5667,5236,5040,5126,4709,6437,6589,9250,8747,9668,9991,9537,8520,7911,5752,5405,4377,4017,5289,4042,4037,2993,3074,2513,2605,2439,2579,2712,2160,2178,2397,2336,2485,1790,1973,2061,2027,2221,997,910,1034,917,739,969,980,820,807,750,309,279,246,292,246,146,151,117,100,116,76,73,72,73,71
872,1044,1241,1432,1587,1958,2116,2227,161572,320385,476687,320759,164913,2453,2411,1825,1789,1830,5703,5248,5373,4187,3419,2918,2757,3150,3310,3284,5235,5063,5037,4839,4867,6373,7120,8279,8582,9989,9907,9967,8412,7510,5780,5741,4388,5518,4118,4539,4438,2942,2623,2579,2412,2594,2611,2242,2263,2059,2230,2222,1629,1782,1823,1944,2215,943,970,994,908,853,1082,980,856,865,714,357,340,242,251,242,151,146,128,134,117,59,71,57,65,65
