id,dist,seats,x,y
1,46,48,37.7145650004360390,55.8790015313033730
2,105,35,37.6733061300344000,55.7382386551547000
3,105,95,37.6696475969381000,55.7355114718314000
4,36,240,37.5669400000000020,55.9040188006692200
5,92,10,37.5981275484399900,55.7473904905259940
6,58,90,37.7154253918980300,55.7551637509706880
7,58,120,37.7154253918980300,55.7551637509706880
8,58,24,37.7199503788590680,55.7492759892765620
9,26,160,37.5476100000000000,55.8402660000000000
10,92,20,37.5983536181482950,55.7505906758320860
11,96,8,37.8316832687996000,55.8207928342225000
12,41,120,37.5890450000000060,55.8729327915379560
13,32,6,37.5878333620157080,55.8808052801520820
14,43,192,37.6572128759440000,55.8530419802775000
15,37,240,37.7041960000000000,55.8791030000000000
16,25,120,37.5097991838943370,55.8717921738328090
17,24,65,37.5245215708017000,55.8791123625771000
18,84,240,37.6682055099468660,55.6831992957854350
19,83,4,37.6627060400079000,55.6788166451702000
20,84,45,37.6662668931059130,55.6739657576821190
21,92,42,37.5984554877014570,55.7520159099222430
22,92,125,37.5990156320593980,55.7521642647137060
23,92,20,37.5974930608650060,55.7517155522706670
24,92,100,37.5975695597589660,55.7520238140709670
25,92,150,37.5953335700498740,55.7504275076709850
26,92,49,37.5953335700498740,55.7504275076709850
27,92,120,37.5929471479459000,55.7497161051646000
28,92,40,37.5935488906508940,55.7498747147240930
29,92,70,37.5927987703546900,55.7496538407499070
30,92,22,37.5895538685708460,55.7491441060677530
31,92,30,37.5888682527611020,55.7488371155641000
32,92,18,37.5888549317831820,55.7488252317041240
33,92,60,37.5881406293922000,55.7481098880933000
34,92,30,37.5875592594036050,55.7479970095747180
35,92,42,37.5875592594036050,55.7479970095747180
36,18,20,37.4593358925510460,55.7190925878864580
37,100,20,37.6399114211972690,55.7774481440954660
38,100,3,37.6395778992853070,55.7788813376081120
39,52,240,37.4302520000000030,55.8469877839358230
40,66,80,37.5630902258995720,55.6843872395925170
41,66,90,37.5610288606706000,55.6846628132219000
42,96,110,37.8077660000000080,55.8189147757296950
43,96,50,37.8083238037527000,55.8175963735601000
44,88,15,37.6603800157920650,55.6181017770822520
45,68,115,37.5721332059936000,55.6482135986494000
46,17,7,37.4965992002486740,55.7458674771414660
47,93,48,37.6786812768991000,55.7730289955539000
48,93,160,37.6789602266370000,55.7715866811033000
49,94,47,37.5561200000000000,55.7783809990000000
50,94,30,37.5598527860743090,55.7817789543119320
51,50,180,37.4869140611715000,55.7698304856012000
52,59,250,37.7663540000000000,55.6733317334990470
53,9,32,37.5662736632541650,55.7394658905064020
54,20,60,37.5514068513028000,55.8738792716378000
55,41,120,37.6096259999999840,55.8721317913029840
