1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52
50;50;86;90;70;74;97;115;158;130;131;103;112;112;136;90;111;128;130;140;118;152;49;22;51;80;82;100;78;57;70;73;102;101;80;62;68;60;66;52;42;69;74;38;50;42;36;38;24;44;45;40
11;10;20;24;10;20;41;42;43;54;42;52;39;37;20;15;20;38;41;28;30;21;9;1;10;50;62;52;31;40;36;41;42;32;84;71;78;72;32;28;39;37;72;67;41;52;40;24;40;39;36;30
