1P,PWOP2P0C,PWOP3P0C,PWOP3P1C,PWOP4P0C,PWOP4P1C,PWOP4P2C,PWOP5P0C,PWOP5P1C,PWOP5P2C,PWOP5P3C,PWOP6P0C,PWOP6P1C,PWOP6P2C,PWOP6P3C,2PWOP4P0C,2PWOP5P0C,2PWOP5P1C,2PWOP6P0C,2PWOP6P1C,2PWOP6P2C,SMWC2P0C,SMWC2P1C,SMWC3P0C,SMWC3P1C,SMWC3P2C,SMWC4P0C,SMWC4P1C,SMWC4P2C,SMWC4P3C,SFWC2P0C,SFWC2P1C,SFWC3P0C,SFWC3P1C,SFWC3P2C,SPWCWP3P0C,SPWCWP3P1C,SPWCWP4P0C,SPWCWP4P1C,SPWCWP4P2C,SPWCWPWOP3P0C,SPWCWPWOP3P1C,SPWCWPWOP4P0C,SPWCWPWOP4P1C,SPWCWPWOP4P2C,SPWCWPWOP5P0C,SPWCWPWOP5P1C,SPWCWPWOP5P2C,O2P0C,O2P1C,O3P0C,O3P1C,O3P2C,O4P0C,O4P1C,O4P2C,O4P3C,O5P0C,O5P1C,O5P2C,O5P3C,O6P0C,O6P1C,O6P2C,O6P3C
9280,3371,2549,1576,1006,897,771,208,273,221,139,70,77,85,112,107,79,149,59,55,92,1895,688,212,108,178,14,14,10,33,426,270,62,26,74,257,378,33,31,95,291,195,156,192,59,32,39,39,2185,151,438,70,18,193,98,19,5,33,25,23,10,50,17,16,21
14097,2789,1900,1597,812,963,853,152,244,251,134,17,40,100,93,86,51,125,39,85,81,1722,554,182,100,151,9,12,8,13,330,133,34,22,40,249,402,22,26,71,297,159,133,156,30,40,34,33,2677,404,572,131,118,206,108,42,14,43,27,35,15,13,9,13,18
6761,2836,2192,1334,1021,937,616,198,313,254,98,84,85,113,87,124,96,143,60,74,75,1860,617,255,88,159,9,9,3,23,413,223,46,23,67,303,546,34,36,97,232,170,119,148,39,39,38,34,1680,96,352,68,20,118,114,21,1,26,38,38,7,13,8,13,17
6948,3353,3225,2044,1653,1724,1113,380,666,579,196,67,137,222,166,232,163,372,116,191,225,2215,764,362,148,217,22,13,16,27,370,233,83,24,67,368,649,38,40,153,408,215,178,240,81,56,60,61,1502,85,331,62,16,96,143,26,2,17,71,72,12,55,23,28,28
10314,4510,3866,1959,1953,1291,985,353,400,339,135,101,107,131,109,220,130,237,101,125,131,2859,553,382,89,142,26,10,7,16,610,107,86,18,19,409,467,62,40,87,520,191,317,238,65,67,58,59,2525,92,820,107,14,520,145,28,1,94,52,36,9,83,22,18,16
7211,2077,1727,1182,869,884,617,132,327,263,65,92,103,113,75,80,45,149,29,75,118,1391,423,185,74,97,11,2,6,7,199,80,27,8,14,213,342,17,25,52,255,150,134,174,51,31,59,43,4262,533,2144,516,94,1243,398,171,16,414,203,144,40,727,91,76,76
6814,2995,2793,2013,1467,1550,1147,190,408,427,136,18,66,154,117,173,104,288,52,159,152,1842,707,311,112,197,18,18,18,26,369,204,57,20,42,260,517,44,33,109,312,190,128,172,46,24,23,31,1229,69,222,31,9,74,141,17,1,10,42,42,2,6,9,13,17
11125,4062,3015,2183,1307,1318,1196,253,454,398,205,84,106,148,171,134,91,181,103,124,140,2666,1142,286,140,294,18,15,16,29,511,416,56,54,89,394,723,31,55,120,388,264,206,251,81,50,56,73,2314,145,478,138,20,152,151,38,8,33,67,48,3,44,27,28,28
10798,2627,1618,1172,568,542,454,116,178,159,79,30,30,54,60,86,42,80,52,60,74,1073,438,119,53,113,6,4,3,11,288,154,49,17,52,168,281,23,12,56,177,110,73,86,32,18,13,21,1473,108,363,78,15,78,77,35,2,21,30,20,3,9,3,10,4
7672,2264,1668,1022,757,650,436,201,226,176,73,69,79,77,83,133,61,93,65,70,74,1039,441,146,62,161,9,4,9,17,241,156,52,26,67,188,329,25,19,93,202,159,118,132,56,41,31,32,1728,147,736,158,45,297,114,35,7,175,44,37,12,55,14,18,16
11564,3246,2346,1884,1088,1126,1206,221,395,420,197,54,89,140,159,163,134,305,131,169,262,1649,531,237,84,128,13,6,12,10,272,119,34,15,35,276,371,30,39,85,206,94,100,99,28,22,28,26,1639,85,460,133,29,309,144,54,18,62,57,40,15,73,30,28,32
11673,4350,2746,2221,993,1092,1316,142,236,325,194,37,48,102,81,114,72,141,40,55,98,2199,954,231,130,276,8,16,21,46,458,302,41,18,69,345,577,31,30,111,271,163,107,113,44,20,16,34,1724,108,265,58,20,69,83,17,2,11,24,22,6,5,6,11,7
24489,2987,1842,1599,698,650,763,145,223,307,113,25,45,75,77,68,67,230,37,85,152,1704,620,166,75,128,8,4,8,20,280,208,40,21,40,245,382,20,29,81,161,116,67,94,26,10,15,19,1577,156,459,92,23,213,84,22,11,91,32,34,3,133,9,12,12
3789,2944,2210,1996,762,907,719,103,288,237,76,10,47,109,62,113,51,213,36,116,132,1355,548,209,66,132,12,8,5,11,255,169,37,18,39,212,419,17,26,77,207,122,57,105,26,3,17,21,909,52,144,26,4,27,73,6,0,6,33,28,3,3,5,18,12
11462,3516,3213,1318,1462,1176,698,293,412,279,85,59,92,144,85,128,113,221,82,96,116,2332,723,269,94,176,10,15,6,15,535,303,69,27,64,353,590,42,36,112,376,189,143,179,33,39,29,27,2111,109,414,75,20,151,137,23,5,63,46,44,2,80,21,21,20
19887,4679,4578,2469,2544,2106,1421,553,1024,669,187,184,292,475,295,194,136,387,190,289,311,3344,1276,573,198,346,47,15,24,50,648,396,130,40,124,530,1152,67,69,215,668,413,367,500,108,104,145,153,2702,212,832,187,31,446,342,53,13,176,115,128,15,172,59,80,93
7407,2189,2259,1337,1099,981,672,243,431,300,109,152,159,199,180,173,131,242,184,163,206,988,426,184,61,137,9,13,5,18,224,145,64,19,38,155,324,17,23,71,272,187,148,188,60,42,32,28,1095,89,310,55,16,96,95,23,2,35,40,51,2,60,32,25,23
6648,2404,2037,1265,849,1052,643,107,392,281,73,7,63,106,77,118,63,242,38,121,159,1254,412,194,80,98,12,6,7,11,159,74,18,5,15,184,386,22,26,73,196,101,82,117,26,12,20,22,2327,708,760,483,171,266,335,143,17,105,121,93,27,1267,42,59,73
13253,3387,2939,1075,1302,782,553,178,299,159,73,68,71,73,63,44,32,76,41,47,50,2824,1445,362,150,323,22,13,13,37,655,751,92,43,143,285,561,24,33,93,316,152,132,153,36,33,26,34,2060,148,347,81,15,142,123,24,0,35,43,37,2,124,20,20,22
2903,794,855,357,363,330,194,78,143,106,29,27,44,63,54,41,24,40,27,40,33,752,256,87,32,53,3,5,2,3,198,94,17,7,13,137,216,13,12,44,170,109,101,94,30,25,27,17,909,44,201,33,4,66,56,13,1,27,37,18,3,13,12,11,13
