1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52
8;8;8;8;8;5;7;8;11;11;18;14;15;18;35;55;53;70;90;130;45;30;80;140;100;120;145;180;150;68;72;60;80;75;55;60;65;62;50;45;50;20;24;19;15;10;10;9;11;10;9;8
8;9;9;4;4;10;9;10;3;12;8;10;12;7;10;13;9;15;21;25;30;10;2;22;18;30;77;72;48;61;90;120;150;145;92;119;78;69;49;57;49;43;46;24;40;24;24;10;10;9;7;11
