20;52095;44788;49895;57601;52420;48396;55920;58250;60629;63092;70105;60544;211440;66632;97723;111746;83079;128529;148571;113511;167140;148368;102431;105331;114166;109827;115975;123183;127029;124525;129082;85397;98042;77526;71843;57502;200960;65191;59599;69358;53799;51126;62577;55834
21;54179;46364;53299;59234;54054;50399;52008;75352;59730;66198;81069;66393;187530;78109;92941;194681;84728;160500;241625;119877;218812;184494;100164;95728;121729;104780;105013;113167;133352;122248;183645;84524;130441;72748;63201;51389;161554;63541;69637;63491;55573;74482;56456;62170
22;57463;48580;56147;59989;53718;53459;56056;96012;55286;68502;93345;75985;159418;89061;80941;297941;88844;170100;168964;101282;438642;189608;123446;75651;117563;102657;100390;141480;117384;111963;344524;83408;252387;76476;52312;51783;94212;65911;57501;56195;41985;78884;65230;62033
23;46599;40705;42035;127589;64246;35518;35441;46137;239715;56238;95683;105805;60186;110229;439341;81872;300174;85204;260237;137690;121912;277824;149303;130188;106462;183832;86657;64686;146097;170362;140466;266231;62949;153720;73376;34552;36332;53651;64961;30066;34454;36747;59732;28861
24;77259;45359;44671;188244;63686;41666;48109;56873;245019;59414;171147;131392;72026;108401;372737;79484;223432;108252;229671;99861;100893;126180;142129;98532;90875;190178;96160;88088;113615;160989;139136;137009;72950;79000;64819;33984;26789;54841;99904;36222;33986;73800;73819;50106
25;105191;49185;47419;214303;67635;48122;79251;65804;238860;65016;254016;162048;79012;106264;326831;85339;158931;138761;185370;96463;88897;95252;142983;92412;89454;237029;106690;92047;98745;173414;143996;123110;79491;70672;80739;55247;34898;52869;151806;44840;53611;104569;74445;55506
26;288900;51723;52045;158557;90699;59192;209104;71078;178038;84322;412398;230797;67648;101668;211113;131215;117243;218099;150568;92590;78266;86306;130283;99057;92823;268305;129987;99385;111392;217044;146491;113167;81487;55289;91234;64977;40887;51524;164031;47616;79047;129701;71981;60409
27;307895;50847;49217;122869;80083;54552;358580;75398;154886;78390;309178;242921;70136;109160;159157;114727;97283;169947;117923;90826;74412;99778;125039;102606;94089;276808;184252;102607;103509;257510;144578;108382;92569;55797;96514;80128;45448;57893;140339;57271;116725;131542;71342;70921
28;243199;50042;50122;93310;73945;52311;432891;80459;133694;74711;219159;240958;69964;111276;116904;104615;83563;129127;98992;88243;75249;102463;116234;109351;102325;275054;272431;122626;100297;240347;136214;106185;94812;56226;103909;99303;50839;58120;105738;65140;157583;107381;68123;73248
29;137767;49154;55552;76552;84889;59745;206115;91385;110726;79731;143535;174622;64736;90258;97188;118139;91063;100891;87281;87413;81729;109075;103286;105120;117687;242127;296493;141336;96751;190722;134719;103663;114239;57272;95236;116638;56447;61614;90304;88431;165732;84694;65054;80138
30;84357;43619;51717;66767;75279;52735;106490;98345;88626;74151;99840;117807;53681;91403;80940;102052;85508;71948;71312;85690;77562;99487;99274;103664;136209;179712;227063;148432;93445;144057;130000;100844;141621;55662;94020;127425;65146;59451;77746;114219;134659;68684;62152;82071
