dist,x,y,kinder,school,shop,restaurant
74,37.57049179,55.65847015,1324,261,2788,1797
68,37.58147812,55.65239334,57,303,210,1469
68,37.58078766,55.65122223,1365,303,672,1469
80,37.60425949,55.69207764,874,79,564,4076
70,37.59827805,55.67929077,364,298,9554,1804
91,37.60564423,55.6000824,255,97,10430,8949
90,37.6045723,55.62167358,1644,966,4726,5799
85,37.62068939,55.65293121,721,72,3885,4017
68,37.56917191,55.65012741,316,303,2584,45
85,37.60609055,55.6511116,555,75,10077,1384
89,37.58992386,55.63628387,264,78,5570,1487
91,37.61352158,55.5887146,289,771,2642,12718
85,37.61194992,55.64434433,1201,75,6672,4117
74,37.57107544,55.67150879,1407,127,6404,12686
91,37.59959793,55.58322144,1351,82,2640,7115
85,37.61621475,55.65286636,721,72,9486,5253
90,37.5930748,55.62349319,1644,761,3923,4620
91,37.60633469,55.59034348,1351,102,7869,3946
77,37.65496063,55.57852936,1,665,9828,1373
90,37.58499908,55.60830688,1012,94,10006,1401
68,37.61147308,55.66258621,710,258,5235,6270
68,37.59589767,55.66008759,390,295,10164,1474
70,37.59058762,55.66975021,497,306,5757,11881
74,37.56813049,55.66581726,991,292,5238,5352
74,37.57289886,55.66791534,907,127,2231,1480
85,37.61233521,55.66750717,1113,663,2316,6345
70,37.59545517,55.68432999,1555,297,2585,3445
90,37.5900116,55.60824203,1579,94,2655,10564
85,37.60796738,55.66962433,1113,663,5113,4118
74,37.55114365,55.66568375,700,256,2580,4836
91,37.58640289,55.60303497,834,870,1932,4131
80,37.60093689,55.69313812,874,79,3909,4076
90,37.58681488,55.62236404,1034,762,3923,1400
91,37.58675003,55.5962944,834,103,5812,1402
74,37.56919861,55.67120361,1407,292,6404,12686
68,37.58511734,55.6613121,1282,300,212,62
85,37.61203766,55.65605164,1113,148,10261,10195
74,37.5644455,55.67332077,1020,292,2420,3413
74,37.57368851,55.67314148,1407,127,2214,1799
70,37.59597778,55.67399979,450,304,1097,4566
66,37.58184433,55.69034958,1055,276,6355,1462
68,37.5764389,55.65069962,80,303,1856,1470
77,37.64453125,55.58017349,1,729,382,4130
66,37.57747269,55.67337036,741,290,8188,3355
68,37.60020065,55.64432144,772,817,4383,1465
85,37.61819077,55.6427536,331,72,2646,5311
70,37.59152222,55.66744232,783,296,3609,11881
70,37.60216522,55.67427063,753,304,1095,1478
77,37.64549255,55.58382034,1,960,380,4129
68,37.59947968,55.66163635,390,295,6265,1474
80,37.60549927,55.69083023,115,79,4600,5308
66,37.58404541,55.68789673,779,293,4370,8104
91,37.59081268,55.59508514,834,867,2649,1402
66,37.58808899,55.68725967,1368,293,291,1482
77,37.63985825,55.59017563,1,122,4855,3969
74,37.57687759,55.66540527,889,127,591,3381
74,37.57572174,55.66529465,889,127,8748,3381
85,37.61812973,55.64468765,331,72,5881,5311
85,37.61636734,55.65089417,160,72,9486,1763
74,37.56927109,55.67380142,1020,127,6404,3347
66,37.56051254,55.681427,731,305,5111,3345
70,37.58039093,55.67656326,371,306,6554,6027
80,37.60571671,55.6922226,115,79,10327,5308
70,37.60548019,55.67604065,753,304,6224,1478
68,37.56795883,55.65079117,316,303,1857,45
91,37.59936523,55.5962677,834,773,6357,4077
90,37.60050583,55.61994934,1644,967,4726,1392
77,37.64845657,55.57830048,1,725,2775,4130
91,37.59830475,55.5819664,1351,82,8127,4096
68,37.5708313,55.65356827,1442,303,8760,1470
66,37.57740784,55.67941666,741,257,9839,10006
85,37.6189003,55.64606094,331,72,5881,3959
66,37.58541489,55.68481445,1368,293,1757,1482
91,37.58163834,55.59969711,834,868,3816,3939
80,37.61124802,55.69041061,115,79,1503,4112
70,37.60280228,55.67720795,753,304,6224,439
91,37.60332489,55.59423828,255,773,395,4563
66,37.58196259,55.6801033,741,293,1891,11666
85,37.62098694,55.65861511,1113,148,10514,3992
68,37.57775879,55.6581955,1159,300,660,1477
80,37.60909271,55.69042969,115,79,8531,4112
70,37.60067368,55.67687988,753,304,1435,439
80,37.60980988,55.69033051,115,79,8531,4112
70,37.58911514,55.66716385,783,296,1107,4756
70,37.59658051,55.67162323,497,306,2791,9516
66,37.58413696,55.68140793,1368,293,5876,10450
68,37.57585526,55.65936279,1159,300,7264,5317
70,37.61354828,55.68130493,639,304,8236,9113
66,37.57873917,55.68219376,741,257,5287,9459
74,37.5618248,55.65402603,201,261,7443,738
85,37.61837387,55.65850067,1113,148,260,8475
77,37.64653397,55.57929611,1,729,3838,4130
91,37.61369324,55.59197998,289,772,6780,8055
68,37.59867096,55.64514923,772,302,4383,7086
85,37.61653137,55.65920639,1113,148,3901,1764
80,37.61274719,55.69648743,874,79,5079,5541
68,37.59076691,55.6568222,397,158,2211,7127
85,37.61399841,55.65727234,1113,148,10261,1771
74,37.57186508,55.65836716,267,261,2788,1475
74,37.56531525,55.66008759,1324,256,8442,12784
66,37.58686829,55.68799591,1055,293,290,1481
66,37.56896591,55.6810379,1303,257,6402,1794
90,37.59296799,55.61299896,597,118,807,9642
77,37.64093781,55.59179306,1,859,6293,4000
80,37.6132431,55.69766617,874,79,5079,5541
68,37.60458374,55.64585114,772,817,4065,1803
89,37.59180832,55.63533401,264,78,5570,1487
66,37.5733223,55.68119049,741,257,1167,1793
91,37.59091187,55.60451508,834,870,1929,776
85,37.61724091,55.65594864,1113,148,4138,8475
91,37.60887527,55.59109497,289,772,4016,1386
74,37.55186081,55.66366577,700,256,40,7038
66,37.56990051,55.67650986,228,290,5106,947
89,37.60102463,55.63423538,475,701,4837,12243
90,37.59814072,55.6135788,929,118,13,1376
70,37.59990311,55.68610382,578,297,6074,3470
68,37.583004,55.64944839,57,299,672,1466
68,37.57116318,55.65317535,1442,303,6295,1470
68,37.57424545,55.65406036,1442,303,2786,228
68,37.57651901,55.65304947,1442,303,2786,1469
68,37.58348083,55.65011215,57,299,210,10143
77,37.65297318,55.5774765,1,665,9828,3947
68,37.5827713,55.66424179,187,300,169,1460
68,37.57453537,55.65742111,1159,307,1506,1477
66,37.58745193,55.68680573,1368,293,291,1482
85,37.61893082,55.66696548,1113,916,1527,3941
70,37.59396362,55.66833115,497,296,6750,1473
77,37.63330078,55.58164215,1,724,3842,6639
77,37.65463638,55.58281326,1,104,3843,4861
74,37.57006073,55.66937256,1407,292,2220,12686
66,37.5813446,55.68455887,779,293,4670,707
66,37.56577682,55.68993759,548,544,1752,702
85,37.62036514,55.66676712,1113,916,1527,1380
90,37.60202408,55.61296082,906,966,5609,4056
90,37.6057663,55.61745834,60,966,3856,5191
85,37.60723114,55.67012787,1113,663,7644,4118
66,37.57928467,55.6780014,741,290,1892,9506
89,37.59201431,55.63464737,264,78,5570,2112
70,37.59646988,55.6814003,787,298,3588,8460
80,37.60137558,55.69451523,874,79,3909,4076
66,37.59379578,55.68930435,196,276,7405,789
68,37.59173584,55.65018082,1187,301,659,9232
66,37.58610535,55.68391037,1368,293,1757,3442
68,37.58401108,55.64799118,57,299,9139,1466
68,37.58218002,55.64658737,1365,299,2789,1467
89,37.59329224,55.63953018,1609,701,10405,5585
68,37.60296631,55.64861679,1616,301,2409,1807
70,37.60792542,55.68095398,639,298,8236,3335
70,37.59339905,55.6726799,371,306,1098,8014
68,37.59150314,55.65907288,949,158,2211,7127
85,37.62086868,55.66221619,1113,916,4776,1380
68,37.60189819,55.66400909,710,258,1106,2842
70,37.6059761,55.67803574,753,304,7421,1463
85,37.60960388,55.64931107,16,75,3861,1384
80,37.61051941,55.69035339,115,79,1503,4112
68,37.6003952,55.65642929,949,782,2581,1177
66,37.59530258,55.69255447,196,276,7405,1461
70,37.59739685,55.67317963,450,304,6980,4566
68,37.59728622,55.65779495,949,158,2500,1179
68,37.60319901,55.65375519,1616,776,7204,1795
85,37.61478043,55.65939331,1113,148,3901,1764
89,37.59329987,55.62974167,492,78,3889,4113
90,37.59792709,55.62147141,1644,761,4726,4620
90,37.59540939,55.61862183,1644,968,1274,4620
91,37.59980392,55.58243561,1351,82,2640,7115
77,37.64344406,55.58942032,1,122,4855,4665
74,37.55804062,55.67036057,1020,292,2586,12038
74,37.56266785,55.67400742,1020,289,2420,3413
91,37.58422852,55.60389328,834,869,1931,4131
66,37.58192825,55.69267273,1496,276,2216,6040
70,37.59566116,55.68561935,116,297,2585,1034
85,37.61851501,55.66638947,1113,916,1527,1380
89,37.59321976,55.63002396,492,78,3889,4113
68,37.57206345,55.65258789,1442,303,6295,1470
74,37.56600189,55.66056824,1324,256,7292,12784
68,37.57043839,55.64940262,316,303,2584,45
85,37.61628723,55.64856339,160,72,9213,1403
89,37.60464478,55.63291931,1678,143,4837,4132
70,37.60065842,55.67207336,497,304,1095,1478
70,37.6000824,55.67481232,1096,304,9559,1478
70,37.59861755,55.67552567,1096,304,9559,439
68,37.59804153,55.65899658,390,295,10944,1474
68,37.60206604,55.66329956,710,258,6265,2842
68,37.60029984,55.65232086,1616,776,6914,1795
91,37.59052277,55.60300446,834,870,10742,776
91,37.5979538,55.59760666,834,77,4879,1390
66,37.58342743,55.69136047,1055,276,6355,1483
89,37.60211182,55.62463379,153,87,1634,4041
90,37.5815773,55.60633469,1012,84,7018,11159
68,37.59762955,55.64548111,772,302,4383,7086
89,37.59064865,55.63853455,1609,78,3806,5585
68,37.586483,55.65515137,397,300,10833,5502
70,37.59714508,55.67416763,450,304,10485,4566
68,37.58324051,55.66189575,187,300,212,62
90,37.59070587,55.61213684,915,94,1928,9642
91,37.5876236,55.60265732,834,870,1932,4131
90,37.58586121,55.60800552,1012,94,1930,10564
66,37.58099365,55.68881226,779,293,6355,4564
74,37.57744598,55.66574478,889,127,591,3381
68,37.57932281,55.64745712,226,299,2790,11295
90,37.60784531,55.62091446,221,966,490,9560
77,37.6582489,55.5787468,1,665,244,1373
90,37.58049011,55.60890198,970,84,3833,11159
89,37.59496307,55.62575531,1688,87,1927,4113
74,37.57364655,55.67339325,1407,127,2214,1799
89,37.58942795,55.63577271,264,78,5570,1487
68,37.58177567,55.66247177,187,300,10912,62
85,37.60970306,55.65671158,1113,148,2656,4940
85,37.61704254,55.66233826,1113,916,4776,1377
89,37.60100555,55.63021851,475,197,7550,10288
91,37.61422348,55.60756683,854,85,3836,1399
68,37.57902527,55.65232468,80,303,672,1469
70,37.60299301,55.68292618,578,297,1092,5873
66,37.58871841,55.6836853,1368,293,1756,3442
89,37.60801315,55.6237793,1522,716,5211,12438
80,37.61195755,55.69444275,115,79,5079,5849
70,37.59577179,55.67795181,364,298,1433,1472
91,37.61033249,55.58965683,289,771,5324,12718
68,37.58824921,55.64974976,1187,299,659,10143
91,37.58877945,55.597332,834,867,8895,1402
90,37.58774948,55.61965942,1034,760,3923,1400
90,37.59717178,55.6124115,929,118,806,9169
91,37.60871506,55.58115005,1351,771,4880,8963
91,37.60951233,55.59069824,289,771,4016,1386
91,37.59098053,55.59610748,834,867,2649,1402
68,37.60138321,55.64213181,772,817,7633,1465
89,37.59930038,55.63991165,1030,701,2043,8316
90,37.59421539,55.60947037,597,94,4078,1387
91,37.58156967,55.60161591,834,869,2030,4131
91,37.59531021,55.59481812,834,702,11032,5809
70,37.59029007,55.66701508,783,296,1107,11881
68,37.59938812,55.6629982,390,295,3617,3415
85,37.61884689,55.65249252,721,72,3885,5309
66,37.58372498,55.68681717,779,293,10681,8104
85,37.61496735,55.66255569,1113,148,1524,1377
91,37.59397507,55.60450363,834,77,1929,776
89,37.59147644,55.639431,1609,701,10405,5585
85,37.60830307,55.64459229,1201,75,6672,763
91,37.61381531,55.5977478,289,739,6070,1398
85,37.61783218,55.65543747,1113,72,261,8475
68,37.5921936,55.65534592,887,782,3587,7127
77,37.65692902,55.58265686,1,104,3843,4059
68,37.60377502,55.64809418,1616,301,5382,4641
74,37.57345581,55.66942596,1407,127,2231,1480
90,37.59189987,55.62367249,1644,761,3923,3964
85,37.60663986,55.64260101,1201,75,3820,638
66,37.59014511,55.68748856,1368,293,291,1481
74,37.56769943,55.65896606,1324,261,2788,1797
89,37.61095047,55.63441849,1373,143,1636,3985
91,37.6068306,55.59552002,255,774,6256,4038
66,37.57767868,55.69359589,1496,714,2216,3396
74,37.56736755,55.65410614,201,261,4043,7200
74,37.56038666,55.67198944,1020,292,4606,568
68,37.57682419,55.65586853,1159,307,660,228
66,37.57794952,55.67322922,741,290,8188,3355
91,37.59893036,55.60350037,834,77,10316,1391
89,37.61025238,55.6374321,48,119,168,1766
74,37.57139969,55.65997314,267,256,2041,1475
80,37.61173248,55.69207382,115,79,2647,4112
70,37.59571457,55.68610382,116,297,6363,1034
91,37.61741257,55.59716034,289,89,505,1756
74,37.56544113,55.65520477,201,261,4043,738
68,37.6003418,55.6484642,1616,301,2409,1464
68,37.58472824,55.64754486,57,299,9139,1466
80,37.61291122,55.69225311,115,79,2647,4112
90,37.59051514,55.61916351,1034,760,4347,3963
89,37.60142136,55.6333313,475,701,4837,2113
91,37.59841919,55.57955933,1011,82,264,8324
91,37.59871674,55.58238602,1351,82,8127,7115
91,37.60788727,55.5940094,255,774,6256,11951
90,37.59930038,55.60720062,445,94,7,1397
77,37.64892578,55.58865738,1,965,3819,10096
74,37.56075287,55.6640358,700,256,2105,7199
89,37.60942459,55.62539291,1522,716,3825,4735
68,37.57861328,55.65043259,226,303,672,1470
68,37.57507324,55.65864182,1159,300,1506,5317
74,37.57344818,55.66120529,267,256,2041,3323
68,37.58421707,55.65825272,1591,300,10833,1477
77,37.65159225,55.58479309,1,962,2654,4114
68,37.60715103,55.66149521,710,258,84,3321
68,37.59643555,55.64814758,781,301,9312,8733
85,37.60713577,55.65388489,555,178,7041,5887
85,37.62125397,55.65766525,1113,148,10514,3992
91,37.60454559,55.59746552,255,738,6666,4038
89,37.60023499,55.63636017,1030,701,7568,996
89,37.58902359,55.6325798,422,78,7769,1758
85,37.61073685,55.65607834,1113,148,2656,1771
85,37.60919189,55.64279556,1201,75,3820,3960
68,37.58649826,55.65449142,397,300,10833,5503
70,37.60870743,55.67715454,639,304,5153,3335
68,37.60005569,55.6614151,390,295,6265,1474
80,37.60397339,55.69525146,874,79,3909,5849
85,37.61149216,55.66667175,1113,663,2316,447
70,37.58807373,55.66828537,783,306,1107,4756
70,37.61048508,55.67953873,639,304,5153,3335
90,37.59910202,55.61805725,1644,967,1274,1392
70,37.59269714,55.66879272,497,296,6750,11881
74,37.56284714,55.65885544,1324,256,8732,12784
80,37.60453033,55.6944809,874,79,4732,5849
89,37.61612701,55.63519669,350,146,3821,3985
85,37.61842728,55.65638733,1113,148,8647,8475
80,37.60936356,55.69195938,115,79,2647,4112
70,37.60305786,55.68808746,578,297,7406,5498
68,37.57937622,55.6526947,80,303,9144,1469
89,37.59708023,55.63254547,78,78,1638,1758
91,37.60618973,55.59120178,255,102,7869,3946
91,37.62184906,55.60300446,759,85,3913,4023
90,37.58266449,55.61585617,1034,664,6,3938
68,37.59612274,55.64335632,772,818,9825,1465
66,37.58639145,55.69401932,64,276,3585,1483
77,37.6582756,55.57912827,1,665,244,1373
91,37.60283279,55.59168625,255,102,9820,3946
85,37.60803223,55.65425873,555,178,7041,5887
66,37.58212662,55.69407272,1496,276,2216,9461
70,37.59846497,55.67461395,1096,304,2579,4566
68,37.58555603,55.66075897,1282,300,212,62
85,37.60830307,55.65207672,555,178,10077,4020
70,37.59180832,55.68279648,787,298,1758,3445
80,37.61878586,55.69845581,115,79,5036,1381
74,37.57443619,55.66739655,907,127,2231,1806
90,37.58163834,55.60853195,970,84,7018,11159
90,37.57975388,55.61156845,778,84,2090,1388
91,37.61344147,55.60467911,1405,85,3918,1399
91,37.59370422,55.59687042,834,867,6372,10208
85,37.61884689,55.64839554,160,72,262,3959
85,37.61169815,55.6484642,16,75,140,1403
77,37.64622116,55.5911026,1,859,3840,10096
70,37.59581375,55.6785202,364,298,1433,1804
74,37.56364441,55.65393066,201,261,8781,7200
74,37.55805969,55.66592789,700,256,8931,1490
68,37.57978821,55.64614868,226,299,4384,10228
68,37.57329559,55.65190887,316,303,1856,1470
66,37.59082031,55.68429947,1368,293,1756,3442
68,37.5857811,55.66254807,187,158,212,62
77,37.6503067,55.58457947,1,963,2654,4114
66,37.59426117,55.68857193,196,293,7405,789
77,37.64774704,55.59591675,1,859,246,1375
90,37.59932709,55.60909653,906,118,11,1397
70,37.61185074,55.68006134,639,304,5153,3335
91,37.59593201,55.59850311,834,867,7118,1393
68,37.58871841,55.64849091,1658,299,659,1484
68,37.59249878,55.65739822,949,158,2211,7127
90,37.59004974,55.60876465,1579,94,2655,1401
85,37.61580276,55.64249802,331,72,8378,1762
85,37.61541748,55.64303207,331,72,8378,1762
85,37.61502838,55.64435959,331,72,5881,1762
68,37.58058167,55.65195465,1365,303,210,1469
77,37.6402626,55.5931778,1,859,6293,1375
89,37.6080246,55.62385559,1522,716,5211,12438
91,37.58837891,55.60186005,834,870,4654,4131
90,37.59625626,55.60766602,597,94,8176,1397
80,37.60839081,55.69234848,115,79,2647,4112
68,37.60417938,55.65067673,1616,776,8685,1807
68,37.59456635,55.65884399,949,158,2500,1474
68,37.59037018,55.65768814,397,158,2211,7127
77,37.64162827,55.59007645,1,122,4855,3969
70,37.58709335,55.66865158,725,306,1504,4756
70,37.59483719,55.67411423,450,306,1097,440
70,37.59383011,55.66620636,783,296,3609,1473
70,37.60016251,55.67868042,753,304,9554,439
90,37.60543442,55.61693954,60,966,3856,5191
85,37.61661911,55.65373611,1092,72,10078,6737
