79,37.612196,55.708789
106,37.600259,55.776371
3,37.835497,55.769585
102,37.58253,55.766916
7,37.81607,55.809671
67,37.548766,55.694366
69,37.540116,55.644213
83,37.659687,55.681569
53,37.580377,55.743819
11,37.358605,55.787377
106,37.59985,55.78702
53,37.561501,55.727043
21,37.489847,55.818302
83,37.648508,55.663417
59,37.77343,55.678769
85,37.607679,55.647152
26,37.528759,55.818211
66,37.561754,55.686191
57,37.790045,55.705342
49,37.399116,55.800523
3,37.829885,55.779971
104,37.683511,55.792805
4,37.786785,55.800418
60,37.770286,55.654031
34,37.590388,55.900385
93,37.707785,55.774879
101,37.718242,55.801231
65,37.673124,55.716827
55,37.820862,55.709115
76,37.666523,55.59116
7,37.803339,55.807945
12,37.403584,55.72272
96,37.800799,55.812664
46,37.71691,55.879474
1,37.834399,55.736298
6,37.774077,55.756505
75,37.520477,55.60724
95,37.730165,55.814936
45,37.641245,55.876835
10,37.421749,55.749107
59,37.770896,55.671543
48,37.429251,55.863791
71,37.533002,55.672576
101,37.731036,55.797071
76,37.668379,55.599023
106,37.616027,55.767294
15,37.496129,55.689705
89,37.613193,55.637912
45,37.632893,55.868561
71,37.520446,55.680748
60,37.74042,55.644614
81,37.733578,55.623011
65,37.680283,55.7064
87,37.742926,55.603998
44,37.649712,55.884861
45,37.625767,55.872913
68,37.581669,55.649393
95,37.721843,55.817218
44,37.658617,55.885476
90,37.604281,55.617455
86,37.710771,55.613317
105,37.675772,55.731358
98,37.673782,55.777722
66,37.585715,55.693333
54,37.612332,55.723476
75,37.536491,55.595074
29,37.561593,55.814013
32,37.573965,55.877812
62,37.720892,55.693878
7,37.822508,55.805825
89,37.612654,55.639205
51,37.481656,55.793573
41,37.603282,55.868624
6,37.785705,55.759731
36,37.568962,55.896852
82,37.664092,55.646571
100,37.620605,55.780918
89,37.596892,55.631274
20,37.563561,55.86602
68,37.57484,55.65149
76,37.684644,55.583884
6,37.773171,55.745347
3,37.830488,55.764094
62,37.728577,55.685969
3,37.822218,55.777399
5,37.804087,55.751458
4,37.795085,55.798839
64,37.746875,55.7125
37,37.708416,55.881488
48,37.442394,55.858816
72,37.510802,55.659543
20,37.566256,55.858631
94,37.565218,55.782938
73,37.513113,55.631199
11,37.426913,55.731436
90,37.603162,55.604931
22,37.552159,55.880279
105,37.666404,55.741265
36,37.580903,55.902445
15,37.513202,55.703085
96,37.810462,55.825441
6,37.780164,55.742993
34,37.601246,55.889465
29,37.569729,55.825525
83,37.638916,55.681257
24,37.527143,55.893904
1,37.826811,55.71945
89,37.610123,55.629081
95,37.724261,55.808852
13,37.48408,55.710115
60,37.765018,55.666866
50,37.484386,55.771638
73,37.489418,55.630225
102,37.538333,55.763426
80,37.610312,55.692387
70,37.596269,55.686704
74,37.55503,55.678418
44,37.664094,55.886396
64,37.741527,55.695932
43,37.644079,55.848987
93,37.68953,55.775374
