1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;50;60;75;310;1675;1850;1500;1250;900;375;350;290;220;175;165;100;50;40;25;15;9;4;2;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;15;44;72;50;10;80;266;333;480;588;625;575;622;423;450;269;190;138;89;60;30;20;12;6;1;0;0;0;0;0;0;0;0
