1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52
20;30;40;20;30;25;15;19;17;18;20;25;30;21;38;40;42;30;40;50;51;41;10;8;30;40;38;70;67;20;28;20;29;20;28;16;10;20;18;27;19;19;32;31;20;20;15;8;20;35;35;35
9;11;13;5;7;12;12;18;16;22;18;22;31;32;33;17;28;39;29;40;30;56;11;1;38;30;39;28;59;19;46;20;22;47;38;40;25;17;18;10;6;6;21;11;19;12;27;18;10;27;10;10
