0,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2018,1,1.2,1.2,1,0.9,1.7,1.7,2.2,3.2,4.2,3.9,4.5,3.6,3.6,5.3,5.2,6.4,6.2,7.6,8.1,9.4,8.4,14.8,19.2,19.6,17.5,19.7,23.1,21.1,15.7,12.1,9.1,6.2,7.2,6,4.7,4.2,3.4,2.4,2.7,2.5,2.2,1.7,1.6,1.6,1.8,1.9,1.6,1.3,1.5,1.1,0.8
2017,0.9,1.3,1,1.7,1.4,1.5,2,2.8,4.8,6.8,5.4,5.9,6.1,5,6.4,5.9,7.3,7.6,8.5,11.4,18.9,21,37.3,53.1,54.1,52.1,43,34,29.1,29.1,18.3,20.3,18.6,13.5,9.9,8,7.6,4,3.4,3.1,1,2.3,1.8,1.3,1.3,1.5,1.9,1.6,1.3,1.3,1.2,0.8
2016,1.6,1.7,1.9,1.7,1.3,1.7,2.5,3.9,5.8,7.7,7.8,6.4,5.6,8.5,6.4,7.3,8,8.2,9,12.1,16.2,12,18.8,20.3,16.5,15.9,18.9,12.3,11.7,8.3,7.4,7.7,5.2,5,3.8,4.3,2.5,2.7,2.9,2.6,3,3.9,2.4,1.5,1.6,2,0.9,1.7,1.8,1,1.7,1.5
2015,1.8,2,1.4,1.3,1.3,1.9,1.8,3.4,4.1,4.8,4.9,7,6.9,4.9,5.2,7.9,7.6,9.9,8.6,9.8,9,6.6,16.1,14.2,17.4,19.7,21.5,21.9,17.3,20.1,23.8,26.5,28.7,24.4,21.8,17.9,15.7,8.6,8.4,5.9,4.9,4.9,2.8,2.7,1.9,2.6,1.8,2.9,2.6,3.5,2,2.7
