1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52
15;18;20;33;15;36;33;38;38;50;40;43;46;75;55;35;85;53;65;40;70;20;10;45;32;33;51;34;22;12;12;14;16;18;20;8;24;20;15;5;20;15;15;20;19;18;31;18;18;17;15;14
10;11;6;8;12;19;22;20;20;22;28;32;47;29;31;38;17;40;31;36;32;48;11;6;30;38;12;30;22;12;20;17;30;45;11;14;17;15;15;10;15;20;17;18;23;10;10;18;17;16;17;14
